,0
0,9.017102616771095e-06
1,2.9447988984418527e-05
2,0.49723765252516156
3,0.014625759715564424
4,4.3889677084596885e-05
5,0.002437856653947663
6,0.010143956554020624
7,0.000889551743854937
8,0.0002581918856071919
9,1.3486094809758409
10,1.5339003122861847
11,0.0004779698608148183
12,0.0041767540887718635
13,0.003787293224431743
14,0.0853564117882322
15,0.00014387137322270988
16,0.0006689620663879999
17,0.0049780715632148954
18,0.0007182859276298785
19,0.0013670541998513615
20,0.15733483153895358
21,0.0041225853683247065
22,0.09871812914411472
23,0.007172560362685165
24,0.026696824972662347
25,0.01039981494125019
26,0.0014744721436050765
27,0.008567448195004575
28,0.0008875447929638894
29,0.00043560209510735466
30,0.0007654903336191148
31,0.2890900023694575
32,0.006408112257218088
33,0.0027629899808031804
34,0.0030512581039494405
35,0.025980157523494234
36,0.0
37,7.995259728976157
38,0.0035720927332407336
39,0.0008888539871085381
40,0.003227422627165629
41,1.0576665863403227e-05
42,0.008215355656774816
43,0.009699842378860023
44,0.23571251760716252
45,0.065952629519445
46,0.012224055980533617
47,0.000482658486349597
48,0.0791704864046226
49,0.0015820567399722995
50,0.004173646642524426
51,4.8341580218145275
52,4.506202863182053
53,0.02581109907539542
54,0.19810477661606274
55,0.029479011429442863
56,0.13690650817813632
57,0.18102097629918087
58,6.687962923821218e-05
59,0.006652810320734831
60,0.10344557986051985
61,0.02732868326536698
62,1.897376483660546e-07
63,0.00010461941877293062
64,0.01591635166886617
65,0.010843179784787726
66,0.007154685049670452
67,0.004288287413835319
68,0.003916740798468299
69,0.001088654498357771
70,0.1276989427308725
71,0.0025719471012690238
72,0.13144154917391382
73,0.4477126977086703
74,0.12195614997031906
75,0.0009678167904551953
76,0.008874247459138817
77,0.02108081523305124
78,0.05008587102540969
79,0.018689521555117425
80,0.03736238301098854
81,0.0024919203333485093
82,0.001607570574883236
83,0.12483396019025673
84,0.04499177699231332
85,0.040905414536973383
86,0.05510204336656102
87,6.436051686320884e-05
88,0.02973953813075588
89,0.04444325991302846
90,0.003279029103637734
91,0.023192127006700043
92,0.006895830110978642
93,0.004408784259315674
94,0.0044440868198270846
95,0.010894882035400524
96,0.06021806582086372
97,0.9807760503362882
98,0.039894517061654554
99,0.042894847553299836
100,0.11099051404265001
101,0.0004682555143914136
102,0.0016332308979262646
103,0.0010710297217241354
104,0.0007220571708178433
105,0.004701178703241542
106,0.009365085948773878
107,0.00019425372938430886
108,0.004312590129892014
109,0.000797606625693029
110,0.006284109853190517
111,0.09737898723672363
112,0.013213545912907357
113,0.003973942579610821
114,0.00032747273378982777
115,0.024363581408555775
116,0.005950631312966897
117,0.6140674124551708
118,0.8091218928427307
119,0.003938764119929516
120,0.03750353862164147
121,0.029854646986613987
122,0.0013875161084640833
123,0.012794175261453669
124,0.05130601502022424
125,0.10869639565327405
126,0.03039691936334462
127,0.001002882348488188
128,0.008193991196955921
129,0.027599208966046198
130,0.022537223186774067
131,0.001391075373530597
132,0.003601704083603473
133,0.0007488223396879192
134,0.28455440354443345
135,0.016214051297054444
136,0.026029297084805104
137,0.419194396514063
138,0.03960814346730409
139,0.09525137045244379
140,0.0014629852146259155
141,0.03231547254265267
142,0.0
143,0.2962369330862729
144,0.33981926438298027
145,0.07966942574868453
146,0.004552084613275783
147,0.01024728400649531
148,0.017626663013536617
149,0.004371715758391771
150,0.0023941109525307423
151,0.00015942364885519888
152,0.008130175637742897
153,0.00014623728695614414
154,4.173567770900639
155,0.6143823487636738
156,0.28658729647656994
157,0.06282290393501604
158,3.835769035403275
159,0.6910749287816629
160,0.4066171703888232
161,0.002369736047986572
162,0.036854344912757804
163,0.06486728246335915
164,0.00932198316353318
165,0.1187213846637977
166,0.38174162198367495
167,0.4836113703996949
168,0.00945535325560694
169,0.19999466987874273
170,0.010376537604133002
171,0.001464147891222915
172,0.04854107068419251
173,0.01254493960218185
174,0.06958927224602389
175,0.04922467467176603
176,0.0005545230881150827
177,0.0006168764137893156
178,0.0005277763275224434
179,0.004384795678894445
180,2.6766038915006818e-06
181,9.658546906813428e-08
182,8.503755778343847e-06
183,3.342545269091853e-05
184,1.8415077439963105e-05
185,2.1140619522341677e-07
186,3.4143496284949757e-06
187,3.0764499978374723e-08
188,2.9593886397468393e-07
189,0.00010194074671016483
190,0.00010235768889956055
191,0.00018215569521378542
192,1.4146360232562487e-05
193,5.977604118382939e-06
194,2.230557285943788e-06
195,5.725792860546412e-06
196,0.0006425104341559288
197,3.6126418477493685e-05
198,8.032575930644448e-05
199,4.6461912780560234e-07
200,3.087866923009873e-05
201,0.0007273696328304933
202,7.860042592880933e-05
203,3.817519682848934e-06
204,3.230749758402483e-08
205,1.6478969384051265e-05
206,9.956577853402958e-07
207,7.774329650258079e-05
208,0.00023718417429042097
209,1.6337950883734924e-05
210,6.682649444660066e-05
211,0.0024472829582669305
