reaction_index,reaction_equation,sensitivity_coefficient
104,CH3OH + OH <=> CH3O + H2O,-0.00017852210293071893
105,C2H + OH <=> H + HCCO,3.816155714348739e-05
106,C2H2 + OH <=> CH2CO + H,8.105659884679089e-05
107,C2H2 + OH <=> H + HCCOH,-1.825694606546718e-05
108,C2H2 + OH <=> C2H + H2O,-1.12029906089417e-05
109,C2H2 + OH <=> CH3 + CO,1.0355636977882773e-05
110,C2H3 + OH <=> C2H2 + H2O,0.0001424430631253644
111,C2H4 + OH <=> C2H3 + H2O,-0.01869788278954498
112,C2H6 + OH <=> C2H5 + H2O,0.00046672045536296907
113,CH2CO + OH <=> H2O + HCCO,-0.00014590014966928084
114,2 HO2 <=> H2O2 + O2,0.00023326291451880376
115,2 HO2 <=> H2O2 + O2,0.017681930445580123
116,CH2 + HO2 <=> CH2O + OH,0.0013537232673474658
117,CH3 + HO2 <=> CH4 + O2,-0.23406858748312576
118,CH3 + HO2 <=> CH3O + OH,-0.49918723404041265
119,CO + HO2 <=> CO2 + OH,-0.0019414277713146568
120,CH2O + HO2 <=> H2O2 + HCO,-0.01575295979366796
121,C + O2 <=> CO + O,-6.8649436595259e-06
122,C + CH2 <=> C2H + H,-6.815153538557042e-08
123,C + CH3 <=> C2H2 + H,-1.2477083487479963e-06
124,CH + O2 <=> HCO + O,-0.000940155429314951
125,CH + H2 <=> CH2 + H,0.0162576767571176
126,CH + H2O <=> CH2O + H,0.0005214739204406401
127,CH + CH2 <=> C2H2 + H,-1.9814176933371733e-07
128,CH + CH3 <=> C2H3 + H,-2.5862930358778675e-05
129,CH + CH4 <=> C2H4 + H,0.0008168095834480175
130,CH + CO (+M) <=> HCCO (+M),2.1899809178310587e-05
131,CH + CO2 <=> CO + HCO,1.7331534480811217e-06
132,CH + CH2O <=> CH2CO + H,-1.2692437728490792e-05
133,CH + HCCO <=> C2H2 + CO,2.5703100444272867e-07
134,CH2 + O2 => CO + H + OH,-0.030765414178886924
135,CH2 + H2 <=> CH3 + H,0.0014678805843829517
136,2 CH2 <=> C2H2 + H2,0.0004685037313568042
137,CH2 + CH3 <=> C2H4 + H,0.019930327466349713
138,CH2 + CH4 <=> 2 CH3,-0.012467280340865054
139,CH2 + CO (+M) <=> CH2CO (+M),-0.0013896292490673118
140,CH2 + HCCO <=> C2H3 + CO,8.89523925090234e-06
141,CH2(S) + N2 <=> CH2 + N2,-0.04276412621500726
142,AR + CH2(S) <=> AR + CH2,0.0
143,CH2(S) + O2 <=> CO + H + OH,-0.07932029040664001
144,CH2(S) + O2 <=> CO + H2O,0.11225937544028429
145,CH2(S) + H2 <=> CH3 + H,0.012533209001805814
146,CH2(S) + H2O (+M) <=> CH3OH (+M),-0.00035024820954444966
147,CH2(S) + H2O <=> CH2 + H2O,0.000615990682887594
148,CH2(S) + CH3 <=> C2H4 + H,0.0011517515173531288
149,CH2(S) + CH4 <=> 2 CH3,0.003171678280574025
150,CH2(S) + CO <=> CH2 + CO,0.00016190982917183754
151,CH2(S) + CO2 <=> CH2 + CO2,1.3852692215156318e-05
152,CH2(S) + CO2 <=> CH2O + CO,0.00034955162074701377
153,C2H6 + CH2(S) <=> C2H5 + CH3,-2.5752167767053517e-06
154,CH3 + O2 <=> CH3O + O,-1.3043038161587874
155,CH3 + O2 <=> CH2O + OH,-0.14923988613621736
156,CH3 + H2O2 <=> CH4 + HO2,-0.06944913221682013
157,2 CH3 (+M) <=> C2H6 (+M),0.008145613333389088
158,2 CH3 <=> C2H5 + H,-0.46513642450804166
159,CH3 + HCO <=> CH4 + CO,0.03603857673339823
160,CH2O + CH3 <=> CH4 + HCO,-0.07997349208951171
161,CH3 + CH3OH <=> CH2OH + CH4,-9.730805012251531e-05
162,CH3 + CH3OH <=> CH3O + CH4,0.007409077985132583
163,C2H4 + CH3 <=> C2H3 + CH4,-0.002687950967780595
164,C2H6 + CH3 <=> C2H5 + CH4,-0.000111000477279929
165,HCO + H2O <=> CO + H + H2O,-0.0013821256931367135
166,HCO + M <=> CO + H + M,-0.0860779449519553
167,HCO + O2 <=> CO + HO2,0.016023297233693216
168,CH2OH + O2 <=> CH2O + HO2,0.0006228159107851339
169,CH3O + O2 <=> CH2O + HO2,0.13238105724640184
170,C2H + O2 <=> CO + HCO,0.00040416869064916275
171,C2H + H2 <=> C2H2 + H,-0.0001611128152556463
172,C2H3 + O2 <=> CH2O + HCO,0.005446964738149521
173,C2H4 (+M) <=> C2H2 + H2 (+M),0.0016906956155011556
174,C2H5 + O2 <=> C2H4 + HO2,0.009222996481354837
175,HCCO + O2 <=> 2 CO + OH,-0.001970520643865587
176,2 HCCO <=> C2H2 + 2 CO,2.3397623501683055e-06
177,N + NO <=> N2 + O,1.732846017946027e-07
178,N + O2 <=> NO + O,-1.4813996105424352e-06
179,N + OH <=> H + NO,1.6498432885229655e-06
180,N2O + O <=> N2 + O2,-1.6158796174447303e-06
181,N2O + O <=> 2 NO,5.041881542922345e-09
182,H + N2O <=> N2 + OH,-2.2143974944320096e-07
183,N2O + OH <=> HO2 + N2,5.5558953410361035e-06
184,N2O (+M) <=> N2 + O (+M),-2.5479495171502676e-07
185,HO2 + NO <=> NO2 + OH,-1.1669667378266896e-07
186,NO + O + M <=> NO2 + M,5.227231872047511e-10
187,NO2 + O <=> NO + O2,1.6242934304344007e-09
188,H + NO2 <=> NO + OH,-1.2256478530689209e-08
189,NH + O <=> H + NO,-2.6178710705348458e-08
190,H + NH <=> H2 + N,4.745416824978196e-08
191,NH + OH <=> H + HNO,1.2752981774480851e-07
192,NH + OH <=> H2O + N,-4.296337554512805e-08
193,NH + O2 <=> HNO + O,-3.738625048991514e-08
194,NH + O2 <=> NO + OH,-5.0142219662225506e-08
195,N + NH <=> H + N2,5.230504694895708e-12
196,H2O + NH <=> H2 + HNO,1.3801103118934141e-07
197,NH + NO <=> N2 + OH,3.2209884371314825e-09
198,NH + NO <=> H + N2O,5.781119390937863e-08
199,NH2 + O <=> NH + OH,1.283556426599604e-12
200,NH2 + O <=> H + HNO,1.1072524150093164e-08
201,H + NH2 <=> H2 + NH,-2.6026807849713535e-08
202,NH2 + OH <=> H2O + NH,1.5432054536248679e-09
